entry_date,exit_date,side,entry_z,exit_z,holding_days,trade_pnl,exit_reason
2023-09-06,2023-09-08,long_spread,-2.469,-3.094,2,-0.03835,stop
2023-09-11,2023-10-12,long_spread,-2.379,0.002,18,0.06844,exit
2024-01-08,2024-02-08,long_spread,-2.216,0.028,22,0.02939,exit
2024-03-25,2024-04-18,long_spread,-2.846,-0.457,16,0.08561,exit
2024-07-02,2024-09-04,short_spread,2.428,0.382,43,-0.09738,exit
2024-10-18,2024-10-23,long_spread,-2.173,0.464,3,0.10325,exit
2024-11-07,2024-11-13,long_spread,-2.135,-0.38,4,0.06448,exit
2024-11-21,2024-12-12,long_spread,-2.652,-0.229,14,0.05925,exit
2024-12-16,2025-01-15,long_spread,-2.033,0.447,18,0.12084,exit
2025-01-24,2025-02-18,short_spread,2.124,0.293,12,0.08828,exit
2025-03-26,2025-04-03,short_spread,2.277,4.18,6,-0.14432,stop
2025-04-07,2025-04-09,short_spread,2.148,-0.12,2,0.1438,exit
2025-04-10,2025-05-08,short_spread,2.845,0.388,15,0.14398,exit
2025-09-11,2025-09-25,long_spread,-2.044,-0.452,9,0.09309,exit
2025-10-01,2025-10-10,long_spread,-2.337,-0.103,2,0.16817,exit
2025-11-04,2025-11-05,short_spread,2.266,0.344,1,0.11232,exit
2025-12-19,2026-01-08,long_spread,-2.599,-0.441,11,0.11113,exit
2026-01-21,2026-01-30,long_spread,-2.65,-0.426,7,0.1757,exit
2026-02-26,2026-03-11,short_spread,2.356,0.162,8,0.14696,exit
2026-03-30,2026-04-02,short_spread,2.138,-0.119,3,0.20068,exit
2026-05-26,2026-06-01,long_spread,-2.127,-2.136,4,-0.01766,open_end
