eth_event_date,eth_event,bnb_follow_days
2022-09-03,up_to_down,1.0
2022-11-20,up_to_down,5.0
2022-12-29,up_to_down,62.0
2023-03-10,up_to_down,66.0
2023-05-10,up_to_down,5.0
2023-08-05,up_to_down,11.0
2024-02-05,up_to_down,4.0
2024-04-06,up_to_down,25.0
2024-06-28,up_to_down,41.0
2024-08-04,up_to_down,4.0
2025-01-02,up_to_down,18.0
2025-06-26,up_to_down,
2025-09-25,up_to_down,40.0
2026-02-01,up_to_down,2.0
2022-07-24,down_to_up,80.0
2022-10-31,down_to_up,0.0
2022-12-26,down_to_up,22.0
2023-01-10,down_to_up,7.0
2023-03-21,down_to_up,4.0
2023-07-04,down_to_up,22.0
2023-10-27,down_to_up,0.0
2024-02-14,down_to_up,0.0
2024-05-25,down_to_up,66.0
2024-07-31,down_to_up,52.0
2024-10-03,down_to_up,
2025-05-08,down_to_up,65.0
2025-07-12,down_to_up,0.0
2026-01-07,down_to_up,5.0
2026-03-20,down_to_up,1.0
