entry_date,entry_price,exit_date,exit_price,days_held,return_%,note
2022-07-24,262.35,2022-09-03,277.43,41,5.75,
2022-10-31,327.15,2022-11-20,263.72,20,-19.39,
2022-12-26,243.53,2022-12-29,246.25,3,1.11,
2023-01-10,277.27,2023-03-10,278.32,59,0.38,
2023-03-21,335.68,2023-05-10,314.7,50,-6.25,
2023-07-04,242.59,2023-08-05,242.92,32,0.13,
2023-10-27,224.43,2024-02-05,300.64,101,33.96,
2024-02-14,334.09,2024-04-06,587.1,52,75.73,
2024-05-25,602.07,2024-06-28,566.49,34,-5.91,
2024-07-31,576.69,2024-08-04,498.29,4,-13.59,
2024-10-03,544.34,2025-01-02,705.47,91,29.6,
2025-05-08,627.18,2025-06-26,642.44,49,2.43,
2025-07-12,685.67,2025-09-25,945.35,75,37.87,
2026-01-07,898.84,2026-02-01,757.97,25,-15.67,
2026-03-20,642.11,2026-04-30,614.98,41,-4.23,OPEN
