analysis_type,pair,correlation,p_value,significance,sample_size,interpretation
pearson_price,BTC-ETH,0.4101,NULL,n.s.,9,price_levels_weak_correlation
pearson_price,BTC-BNB,0.7331,NULL,p<0.05_likely,9,price_levels_strong_correlation
pearson_price,ETH-BNB,0.7374,NULL,p<0.05_likely,9,price_levels_strong_correlation
spearman_price,BTC-ETH,0.4667,NULL,n.s.,9,rank_based_moderate
spearman_price,BTC-BNB,0.8167,NULL,p<0.01_likely,9,rank_based_strong_BNB_follows_BTC
spearman_price,ETH-BNB,0.5500,NULL,n.s.,9,rank_based_moderate
pearson_qoq_returns,BTC-ETH,0.6769,0.0452,**,9,returns_significant
pearson_qoq_returns,BTC-BNB,0.6617,0.0522,*,9,returns_marginal
pearson_qoq_returns,ETH-BNB,0.8518,0.0036,***,9,returns_highly_significant
hypothesis_test,H1_BNB-ETH_gt_BNB-BTC,0.1900,NULL,SUPPORTED,9,BNB_more_correlated_with_ETH_than_BTC
hypothesis_test,H2_dom_decline_bnb_outperform,25.47,NULL,SUPPORTED,3,BNB_outperforms_BTC_by_25_47pp_in_dom_decline
hypothesis_test,H2_dom_rise_bnb_underperform,-6.88,NULL,SUPPORTED,5,BNB_underperforms_BTC_by_6_88pp_in_dom_rise
strategy_backtest,Strategy1_dom_tracking,94.07,NULL,SUPPORTED,7,cumulative_return_94_07_pct
strategy_backtest,Strategy1_BTC_HODL_benchmark,51.39,NULL,baseline,7,benchmark_return_51_39_pct
strategy_backtest,Strategy1_alpha,42.68,NULL,SUPPORTED,7,alpha_42_68_pct_outperform_BTC
strategy_backtest,Strategy2_eth_trigger_bnb_avg,36.90,NULL,SUPPORTED,2,BNB_avg_return_after_ETH_strong_signal
strategy_backtest,Strategy2_eth_trigger_btc_avg,0.55,NULL,baseline,2,BTC_avg_return_after_ETH_strong_signal
strategy_backtest,Strategy2_alpha,36.35,NULL,SUPPORTED,2,alpha_36_35_pct
